quiz_no,quiz_title,q_no,q_type,stem,options,answer,analysis,is_open,source_file
033,庄严佛土,1,多选题,【多选题】对于经文“佛告须菩提：‘于意云何？如来昔在然灯佛所，于法有所得不？’‘世尊，如来在然灯佛所，于法实无所得。’”，以下选项中理解正确的有哪些？,A. 在世俗谛上，释迦佛讲他在因地作菩萨的时候，作为学生追随亲近燃灯佛学习，佛陀这样讲是在世俗谛上言说。 || B. 这个“得”，是“获得，获取”的意思。 || C. 要强调的是，在胜义谛上，一定要观能听、所听皆是空，没有说法的人，没有听法的人，也没有所得之法，叫“听法无所得”。 || D. 燃灯佛，是一个佛的名字。释迦佛在其他经典里讲过，燃灯佛是释迦牟尼在因地作菩萨修行的时候的一位老师。,ABCD,燃灯佛，是一个佛的名字。释迦佛在其他经典里讲过，燃灯佛是释迦牟尼在因地作菩萨修行的时候的一位老师。释迦牟尼在这里问须菩提，我过去在燃灯佛那里获得什么法了吗？这个“得”，是“获得，获取”的意思。须菩提回答：老师，您没有从燃灯佛那里获得任何的法。怎么理解这一段经文？不要忘了二谛。在世俗谛上，释迦佛讲他在因地作菩萨的时候，作为学生追随亲近燃灯佛学习，这件事儿佛陀在很多经里都是这样讲的，佛陀这样讲是在世俗谛上言说。那么在《金刚经》里，这里要强调的是，在胜义谛上，一定要观能听、所听皆是空，没有说法的人，没有听法的人，也没有所得之法，叫“听法无所得”。这是《金刚经》第十段的第一小段，“听法无所得。”,0,/Users/apple/study/buddhism/output/quizzes.csv
033,庄严佛土,2,多选题,【多选题】《金刚经》第十段经文，佛告须菩提：“于意云何？如来昔在然灯佛所，于法有所得不？”须菩提回答说：“世尊，如来在然灯佛所，于法实无所得。”对于须菩提的回答，以下说法正确的有哪些？,A. 老师，您没有从燃灯佛那里证得任何的法，这是须菩提的回答。 || B. 理解这段经文，不能忘了二谛，可以在四重二谛第二重二谛上进行解读。 || C. 在世俗谛上，释迦佛讲他在因地作菩萨的时候，作为学生追随亲近燃灯佛学习。 || D. 在胜义谛上，一定要观能听、所听皆是空，没有说法的人，没有听法的人，也没有所得之法。,BCD,老师，您没有从燃灯佛那里获得任何的法，这是须菩提的回答。怎么理解这一段经文？不要忘了二谛（参12、13两节，78-89页）。在世俗谛上，释迦佛讲他在因地作菩萨的时候，作为学生追随亲近燃灯佛学习，这件事佛陀在很多经里都是这样讲的，佛陀这样讲是在世俗谛上言说。在《金刚经》里，这里要强调的是，在胜义谛上，一定要观能听、所听皆是空，没有说法的人，没有听法的人，也没有所得之法，叫“听法无所得”。,0,/Users/apple/study/buddhism/output/quizzes.csv
033,庄严佛土,3,单选题,3.【单选题】关于“庄严佛土”的说法，以下选项中理解正确的是哪个？,A. 庄严佛土就是修建寺庙、镀金造像、装修道场。 || B. 娑婆世界是秽土，佛土在别处，要去他方世界庄严佛土。 || C. 庄严佛土是改造世界，改变山河大地、城市环境。让物质世界完美，就是庄严佛土。 || D. 大乘菩萨修行的过程，就是一个庄严佛土的过程。,D,什么是“庄严佛土”？大乘菩萨修行的过程，就是一个庄严佛土的过程。,0,/Users/apple/study/buddhism/output/quizzes.csv
033,庄严佛土,4,多选题,4.【多选题】大乘佛法的一个要害，就是发菩提心，下列选项中对菩提心的理解正确的有哪些？,A. 发菩提心，从二时教法讲，就是发世俗谛菩提心跟胜义谛菩提心。 || B. 所谓发世俗谛菩提心，在佛教里也叫作“发愿心”。 || C. 胜义谛菩提心就是行愿，切切实实度化一切众生。 || D. 世俗谛菩提心的根本愿心是“四弘誓愿”，四个弘大的誓愿。,ABD,大乘佛法的一个要害，就是发菩提心——世俗谛菩提心跟胜义谛菩提心。现在从另外一个角度对世俗谛菩提心再作一个解读。所谓发世俗谛菩提心，在佛教里也叫作“发愿心”。世俗谛菩提心的根本愿心是“四弘誓愿”，四个弘大的誓愿。,0,/Users/apple/study/buddhism/output/quizzes.csv
033,庄严佛土,5,多选题,5.【多选题】依据本讲的内容，“四弘誓愿”是哪四个具体的誓愿？,A. 众生无边誓愿度 || B. 烦恼无尽誓愿断 || C. 法门无量誓愿学 || D. 佛道无上誓愿成 || E. 平安喜乐誓愿求,ABCD,世俗谛菩提心的根本愿心是“四弘誓愿”，四个宏大的誓愿，即“众生无边誓愿度，烦恼无尽誓愿断，法门无量誓愿学，佛道无上誓愿成。”,0,/Users/apple/study/buddhism/output/quizzes.csv
033,庄严佛土,6,多选题,6.【多选题】对四弘誓愿的理解，下列选项中正确的有哪些？,A. “众生无边誓愿度”，一个发大乘心的人，众生虽是无边，但是要发愿度尽一切众生。 || B. “烦恼无尽誓愿断”，大乘菩萨的修行就是要断除一切众生的烦恼。 || C. “法门无量誓愿学”，发大乘心的菩萨，要度一切众生，就必须无量的法门都要学，才有度无边众生的可能。 || D. “佛道无上誓愿成”，就是经过修行，要度一切众生成就无上的佛道。,ABCD,“众生无边誓愿度”，一个发大乘心的人，按照《金刚经》讲，“所有一切众生之类，我皆令入无余涅槃而灭度之”。所有一切众生之类，众生虽是无边，但是我要发愿度尽一切众生；“烦恼无尽誓愿断”，对于一位大乘的菩萨， 他的修行就是要断除一切众生的烦恼；“法门无量誓愿学”，一个发大乘心的菩萨，要度一切众生，就必须无量的法门都要学，才有度无边众生的可能；“佛道无上誓愿成”，就是经过修行，要度一切众生成就无上的佛道。,0,/Users/apple/study/buddhism/output/quizzes.csv
033,庄严佛土,7,多选题,7.【多选题】对于世俗谛菩提心的发愿，以下说法中正确的有哪些？,A. 世俗谛菩提心的“四弘誓愿”也叫作“通愿”、也叫作“共愿”。 || B. 修行大乘佛法的人、誓愿成就无上菩提的众生都要发的愿，叫“通愿”，也叫作“共愿”。 || C. 世俗谛菩提心还有别愿，也就是具体到不同的修行者，还要发自己区别于其他众生的愿。 || D. 世俗谛菩提心只有“共愿”，没有“别愿”。,ABC,四弘誓愿也叫作“通愿”，也叫作“共愿”，是修行大乘佛法的人、誓愿成就无上菩提的众生都要发的愿。世俗谛菩提心，还有别愿，也就是具体到不同的修行者，除了要发四弘誓愿这样的共愿之外，还要发自己区别于其他众生的愿，叫作“别愿”。,0,/Users/apple/study/buddhism/output/quizzes.csv
033,庄严佛土,8,多选题,8.【多选题】关于“阿弥陀佛”，以下说法中正确的有哪些？,A. 阿弥陀佛在末法时期，与我们娑婆众生有着大因缘。 || B. 末法时期度众生的一个大法船，就是阿弥陀佛的法门。 || C. 释迦牟尼在《无量寿经》《阿弥陀经》《观无量寿佛经》里边有讲阿弥陀佛。 || D. 释迦牟尼在《金刚经》《心经》《维摩诘经》里边有讲阿弥陀佛。,ABC,大家都非常熟悉的一尊佛，叫阿弥陀佛。这尊佛在末法时期，与我们娑婆众生有着大因缘。释迦牟尼在《无量寿经》《阿弥陀经》《观无量寿佛经》里边告诉我们，末法时期度众生的一条大法船，就是阿弥陀佛的法门。,0,/Users/apple/study/buddhism/output/quizzes.csv
033,庄严佛土,9,多选题,9.【多选题】在《无量寿经》中，关于阿弥陀佛的描述，下列选项中正确的有哪些？,A. 阿弥陀佛在没有成佛以前，在因地作菩萨的时候，他的相似相续当中的某一生是个国王。 || B. 他弃了国王的位置，出家做比丘了，法名是“法藏”。 || C. 法藏比丘观娑婆世界众生的修行艰难，障碍多，经常退转。 || D. 法藏比丘从他内心的悲心当中，发了四十八个大愿，这就是阿弥陀佛的共愿。 || E. 因为法藏比丘因地发的大愿，他成佛了，成了阿弥陀佛，因此也就成就了末法时期度化众生的一大方便法门，就是往生法门。,ABCE,在《无量寿经》中，佛陀告诉我们，阿弥陀佛在没有成佛以前，在因地作菩萨的时候，他的相似相续当中的某一生是个国王，但是他弃了国王的位置，出家做比丘了，法名是“法藏”，法藏比丘。法藏比丘观我们娑婆世界众生的修行艰难，障碍多，经常退转；所以法藏比丘从他内心的悲心当中，发了四十八个大愿，这就是阿弥陀佛的别愿，这四十八个愿，只是阿弥陀佛因地时候发的。正是因为法藏比丘因地发的大愿，他成佛了，成了阿弥陀佛，那么因此也就成就了末法时期度化众生的一大方便法门，就是往生法门。,0,/Users/apple/study/buddhism/output/quizzes.csv
033,庄严佛土,10,多选题,10.【多选题】阿弥陀佛的四十八个大愿里主要讲了什么？,A. 阿弥陀佛修行的一切功德，都回向成就一方净土——这个净土里没有三恶道。 || B. 生到阿弥陀佛的净土的众生，所愿皆成，不必为生存去奔波劳碌，什么都不用做。 || C. 生到阿弥陀佛的净土的众生，要听闻佛法，会有最好的老师讲法。 || D. 来到阿弥陀佛的净土的众生，日后一定得不退转果。 || E. 阿弥陀佛大愿的一个重大的要点就是临终接引，临终时不管什么样的人都可以接引到他的世界。,ACD,法藏比丘说，从今开始，我修行的一切功德，都回向成就我的一方净土——注意是净土；这个净土一旦成就起来，那里无恶道—没有三恶道，是净土。到了那里，要听闻佛法，会有最好的老师讲法，……更重要的是，凡来到我这个世界的众生，日后我一定会让他得不退转果。……他的大愿力，还有一个重大的要点就是临终接引。我的世界这么好，如果有众生发愿，说愿来生去他的世界，那么只要在活着的时候忆念我，念我的名字，那么在临终的时候，可能嘴里念不出我的名字了，但是心中挂念着我，我一定接引到我的世界，绝不拒签，这叫临终接引。也就是这个世界很好，而且去的又很方便，这是法藏比丘发的大愿中的要点。,0,/Users/apple/study/buddhism/output/quizzes.csv
